"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"ZNF789",-0.151314749397082,0.0572841454121282,-0.133026675063433,0.108855113657528,FALSE
"GCNT4",0.565789941303824,0.0574005097891425,0.471315888951016,0.123406969389463,FALSE
"FAM92A",0.138973154023199,0.0574022403863414,0.183737207925628,0.0189959051087275,FALSE
"PIAS4",-0.26547690878069,0.0575046338016474,-0.241152667787046,0.097995949300289,FALSE
"CCDC85C",-0.208953532873766,0.0575302666218312,-0.123333309466427,0.294086057883812,FALSE
"TMEM232",0.253876919610916,0.0575568883964841,0.255768028613332,0.124698048044677,FALSE
"EPS8L2",0.473815221393017,0.0575568883964841,0.34743562011162,0.201608217310603,FALSE
"AC092567.1",0.25317171341522,0.0575897801872332,0.348773631643303,0.0195157756632045,FALSE
"KIN",-0.172462455890208,0.0575897801872332,-0.15819610097094,0.124477046589043,FALSE
"IRF3",0.154787970134139,0.0575897801872332,0.187379797539532,0.0332731357523115,FALSE
"LMBR1L",-0.136756644124485,0.0578463119729666,-0.102739975124782,0.20218957326716,FALSE
"SCARB1",0.516994017402127,0.0579521741784353,0.0366533981319858,0.853267396162237,FALSE
"GNA13",0.138442394512266,0.0579960027415001,0.142687404465391,0.0800781785037186,FALSE
"RAB4A",0.242644221421545,0.0580389040571119,0.118568564311883,0.319976543538678,FALSE
"ZNF20",0.315474304627191,0.0580813376136011,0.390374128130832,0.0302663764513875,FALSE
"PSMA1",-0.283197994140341,0.0581886096715518,-0.319230697136107,0.151042705589177,FALSE
"PATJ",-0.211920655148511,0.0582352721481283,-0.13756008873527,0.164843345045395,FALSE
"SDHD",-0.167716159262523,0.0582386652965747,-0.0920296857548177,0.379605403257994,FALSE
"S100A4",0.761398662352253,0.0582869944047813,0.369106915118976,0.000847610530765417,FALSE
"DENND5B-AS1",-0.326540863957312,0.0583615423295998,-0.217962738926431,0.239003802202634,FALSE
"AC008840.1",-0.507888310554408,0.0583880961769377,-0.459878458095033,0.132131741421547,FALSE
"AL117209.1",-0.268526455410713,0.0585089853459972,-0.236113157555147,0.12143471957883,FALSE
"CYTH3",0.128558383601983,0.0586081346541845,0.148258501625495,0.16620762250637,FALSE
"FGF10-AS1",-0.593682525027094,0.0586442669249964,-0.615101024644346,0.102241420177775,FALSE
"TCF4-AS2",0.522583236496443,0.0586471182454972,0.422496445732479,0.182436400664782,FALSE
"PARN",-0.112614550696496,0.0586823944951209,-0.0823270677136353,0.279493916601766,FALSE
"FAM24B",0.366209820303686,0.058703731662067,0.455649839677585,0.0237510186687926,FALSE
"PPAT",0.249071264115304,0.0587703023396573,0.277244442263945,0.0594754012476779,FALSE
"JUND",-0.48519724637135,0.0588384439314707,-0.122471967499855,0.260424074814329,FALSE
"MAPKAPK5",-0.13690923420613,0.0588625307852723,-0.106105567717016,0.201065367929955,FALSE
"DNAJC3-DT",0.478730364631625,0.059003109290636,0.329003715265752,0.103857714140194,FALSE
"CD37",-0.397095517965061,0.059003109290636,-0.289873279076283,0.171033142181773,FALSE
"AL035448.1",0.435272116136284,0.0590093656130732,0.523820722190983,0.0272740785116798,FALSE
"PEPD",-0.206277741056014,0.0591211611227304,-0.26343822024224,0.0275283012228817,FALSE
"OSBPL8",-0.158415029441349,0.0591344583943212,-0.194683014200715,0.0114028903404848,FALSE
"NR1H2",-0.421092361095079,0.0591344583943212,-0.263365699047058,0.0273085914646587,FALSE
"SENP1",-0.184268100721104,0.0591662621586925,-0.129567828414673,0.257970087580264,FALSE
"BBS7",0.156140135438519,0.0592493744929607,0.206083681752253,0.03397846678556,FALSE
"ZNRF1",0.534852332641411,0.0593296303954269,0.0773437649009517,0.520095795205817,FALSE
"BHLHE40",0.812118036629838,0.0593437710006996,0.326310415996277,0.156742988544479,FALSE
"FAM104B",0.457160473930315,0.0593437710006996,0.50880490635191,0.0294697454303936,FALSE
"NSD3",0.0658424859087578,0.059378498391668,0.0879547501819015,0.0404811485845674,FALSE
"CCNE2",0.361106790783767,0.0593808452388522,0.334503099927965,0.0934682708988065,FALSE
"AL022068.1",0.3222311026685,0.0594585381250815,0.514435097290873,0.0110636831088109,FALSE
"DENND11",0.174553423100524,0.0595197573252967,0.174413644650454,0.0747591125446708,FALSE
"AL592043.1",0.495011012579628,0.0595197573252967,0.540801971496124,0.0831171980105424,FALSE
"TP53INP1",0.527163473725029,0.0595392489932428,0.0580529945892719,0.748972365505799,FALSE
"SPG7",-0.112629626788254,0.0595712002340358,-0.10834279895639,0.12108869532723,FALSE
"LY6G5B",-0.294485749625652,0.0596270420353975,-0.253521746298429,0.118509189817235,FALSE
"SORCS2",-0.401132292413213,0.0596824815781496,-0.463658260258632,0.0578117390108314,FALSE
"ZNF787",-0.286676532924646,0.0598107414296479,-0.272174356380407,0.0944743478358053,FALSE
"MLLT11",-0.403329027704151,0.0599376547513232,-0.273226259942348,0.206731393721333,FALSE
"CNTROB",0.306655323568705,0.0599779742316698,0.369568686823406,0.0432675843819976,FALSE
"NUF2",0.281456119641655,0.0600822365923507,0.29939447420443,0.0605439265177939,FALSE
"PKP4-AS1",0.322072454552789,0.0600896207992467,0.268287594193292,0.182611067405174,FALSE
"AC124852.1",0.421046073802239,0.0600896207992467,0.343766535755535,0.241779852832202,FALSE
"IGSF6",0.297827735454067,0.0600896207992467,0.192768787292396,0.28181339691743,FALSE
"TDP2",-0.197365752970193,0.0601041922264994,-0.158697646553331,0.143873472664407,FALSE
"ZNF322",-0.180121314634909,0.060252521526297,-0.195696806868738,0.0524228945214949,FALSE
"SH3GLB2",0.31318076081925,0.0603752027601284,0.337239767693353,0.0348996313885909,FALSE
"PIK3C3",-0.108563444365875,0.0604461711147757,-0.10158712485006,0.129965735389395,FALSE
"MPP5",-0.111607539529637,0.0607555307983686,-0.0789360772407699,0.281875750429891,FALSE
"FAM185A",0.10516041959694,0.0607852760257065,0.160820339112461,0.0140367658321799,FALSE
"GPD2",0.189417077382473,0.0608315286002014,0.24204371841927,0.0438829431808581,FALSE
"GLUD1",-0.196175173631145,0.0608677167856118,-0.161727377871365,0.169272245647281,FALSE
"AC100839.2",-0.584583211774435,0.0609465095371072,-0.540282607827897,0.101602655225581,FALSE
"LRTOMT",-0.219854635724543,0.060947067730268,-0.162116482082721,0.207431371908202,FALSE
"MSANTD4",-0.429928684078025,0.0609542641890853,-0.127327944001247,0.343839953150694,FALSE
"TG",-0.490583763790173,0.0609621025567861,-0.429229790203035,0.117328323492121,FALSE
"MIR762HG",0.193436969031633,0.0609895935511377,0.25168594915939,0.0316122360239252,FALSE
"BSCL2",0.265075778698364,0.0610764549987518,0.213664161653987,0.141732767137741,FALSE
"DDAH1",0.432421551950219,0.061105825908217,0.449439961478784,0.156220135397744,FALSE
"PINLYP",-0.310427863603466,0.061105825908217,-0.266643917562402,0.103324289905998,FALSE
"FAM210B",0.597024546027177,0.0611225376518594,0.091335086366378,0.50090763130032,FALSE
"C19orf47",0.506932617279722,0.0611733915357428,-0.00439495400691483,0.981653769333162,FALSE
"IER5L",0.339180875423404,0.0611891130518077,0.133295740185215,0.422680283892429,FALSE
"HPRT1",-0.223027160023094,0.061249374779906,-0.212023350148763,0.119570935470885,FALSE
"PDZD2",0.178544591476136,0.0613297062363389,0.0564493215214944,0.617672265747982,FALSE
"AL080276.2",0.315769480627935,0.0613625451449078,0.306506700698473,0.100996860599359,FALSE
"ERCC6L",-0.376736422341953,0.0613625451449078,-0.379093246431085,0.078269435339216,FALSE
"AL160313.1",0.398788856127127,0.0613811062504023,0.414929656478005,0.0773312139885333,FALSE
"SLC44A2",-0.201328241339394,0.0613811062504023,-0.227022484220158,0.0491192948757277,FALSE
"U2AF2",-0.183289350881411,0.0613811062504023,-0.208012536807979,0.02709023061775,FALSE
"VEZT",0.14178280252291,0.061419905362599,0.00056607826317393,0.994181061160331,FALSE
"ZNF197",0.121973087891001,0.0614251608181891,0.16657178484928,0.0299507439044287,FALSE
"RNF126",-0.282554594799823,0.0616281253404832,-0.267126845830526,0.107921769036315,FALSE
"NEIL1",0.282688041637512,0.0616284991174546,0.304244136633408,0.0610658683978732,FALSE
