"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"CLPX",-0.193311976001799,0.174797040182431,-0.150224945951634,0.34108961290001,FALSE
"PTBP3",0.198769526799263,0.175182819533724,0.114859278190176,0.308763541585229,FALSE
"GAPVD1",-0.116549156534749,0.175182819533724,-0.177398924849255,0.0778065347727419,FALSE
"KCNB1",0.448687793420796,0.175216384059123,0.497173446414408,0.199635439637555,FALSE
"PCCB",0.296449611459587,0.175436854216577,0.171826030696781,0.46959362067457,FALSE
"LINC01099",0.357680252729164,0.175500881370059,0.674457880165239,0.0465700150275649,FALSE
"AC004160.1",0.329382257424037,0.175608944341669,0.304629649890277,0.177898048599192,FALSE
"TTLL7",0.273751176777153,0.17576173373724,0.350580061597286,0.161460345968983,FALSE
"MAP2K5",0.0961401601723971,0.17576173373724,0.138287348552667,0.168975002531689,FALSE
"Z94721.1",0.325545810149396,0.175795710752108,0.359884086149801,0.188077188859262,FALSE
"C12orf76",0.299644621050657,0.175981774941067,0.309261687098012,0.197674257903734,FALSE
"OSBPL9",0.131005402067516,0.17613155669933,0.0529707774332276,0.650407157805639,FALSE
"ALS2",0.215348505092625,0.176179145968962,0.00911616642266282,0.959889092684352,FALSE
"ERH",-0.441841755517215,0.176179145968962,-0.33527685167224,0.178103413272693,FALSE
"ATRX",0.0823312725954708,0.176371226518412,0.0551550324461437,0.502806608902133,FALSE
"GNB5",0.332857266925989,0.176481511437051,0.347603820438082,0.183687050577372,FALSE
"ACO2",-0.197566018556911,0.176742370793697,-0.215248276204902,0.0486648901841385,FALSE
"SIAH1",-0.189977912422088,0.176743109011902,-0.174234871504187,0.247894322985916,FALSE
"DHRS12",0.346059772674076,0.177418026021385,0.442317977634533,0.112413590804459,FALSE
"ANP32B",-0.194797792280515,0.177590707268142,-0.186669568579084,0.220666443206657,FALSE
"ZNF66",0.426003394086753,0.177866026447369,0.421329280477169,0.156378619230983,FALSE
